Date,Category,Product Brand Name And Type,Barcode,Quantity,Unit,Unit Weight (Kg),Total Weight (Kg),Unit Price (GBP),Total Price (GBP),Location/Store
01-05-2024,Fresh vegetables,"Tesco Mixed Raisins 60G, Fruit and Veg",3424605,8,Item,0.06,0.51,1.15,9.2,Hadley
01-05-2024,Fresh vegetables,"Tesco Sour Cream Chive Flavoured Pulse & Nut Mix 25G, Fruit and Veg",5.0597E+12,7,Item,0.03,0.18,0.75,5.95,Hadley
01-05-2024,Fresh vegetables,"Tesco Mixed Peppers 420G (C), Fruit and Veg",3274880,1,Item,0.57,0.57,1.9,1.9,Hadley
01-05-2024,Fresh vegetables,"Tesco Pink Lady Apple Pot 80G, Fruit and Veg",5.05775E+12,2,Item,0.09,0.18,1.3,2.6,Hadley
01-05-2024,Fresh vegetables,"Tesco Nut Bites Mix Baklava Flavour 25G, Fruit and Veg",5.0597E+12,10,Item,0.03,0.27,0.85,8.5,Hadley
01-05-2024,Fresh vegetables,"Tesco Apple & Strawberry 90G, Fruit and Veg",3474433,6,Item,0.1,0.62,1.3,7.8,Hadley
01-05-2024,Fresh vegetables,"Tesco Blackberries 150G (C), Fruit and Veg",3257272,1,Item,0.17,0.17,2.1,2.1,Hadley
01-05-2024,Bread and bread products,"Tesco All Butter Pain Au Chocolat, Bakery",3063378,2,Item,0.08,0.16,1.1,2.2,Hadley
01-05-2024,Bread and bread products,"Tesco Pink Iced Doughnut, Bakery",3269435,3,Item,0.07,0.2,0.75,2.25,Hadley
01-05-2024,Bread and bread products,"Cinnamon Swirl, Bakery",3063255,2,Item,0.05,0.1,1.1,2.2,Hadley
01-05-2024,Bread and bread products,"Tesco All Butter Croissant, Bakery",3269275,9,Item,0.07,0.63,1.1,9.9,Hadley
01-05-2024,Bread and bread products,"Tesco Pastel De Nata, Bakery",3305034,6,Item,0,0.01,1,6,Hadley
01-05-2024,Bread and bread products,"Tesco Tiger Baguette 400G, Bakery",5.05775E+12,6,Item,0.44,2.65,1.2,7.5,Hadley
01-05-2024,Bread and bread products,"Tesco All Butter Chocolate Twist, Bakery",3277621,6,Item,0.08,0.46,1.2,7.2,Hadley
01-05-2024,Bread and bread products,"Tesco All Butter Almond Croissant (C), Bakery",3063330,7,Item,0.08,0.56,1.1,7.7,Hadley
01-05-2024,Bread and bread products,"Tesco Tiger Baton 200G, Bakery",5.05775E+12,3,Item,0.22,0.67,0.9,2.7,Hadley
01-05-2024,Bread and bread products,"Tesco Maple And Pecan Plait, Bakery",3269336,1,Item,0.09,0.09,1.1,1.1,Hadley
01-05-2024,Bread and bread products,"Tesco All Butter Chocolate Croissant, Bakery",3269299,5,Item,0.09,0.45,1.1,5.5,Hadley
01-05-2024,Bread and bread products,"Tesco Vanilla Creme Crown, Bakery",9669,7,Item,0.09,0.66,1.1,7.7,Hadley
01-05-2024,Other grocery,"Wicked Kitchen Late Night Noodles 90G, Grocery",5.05775E+12,1,Item,0.11,0.11,1.6,1.6,Hadley
01-05-2024,Chilled products with dairy and eggs,"Tesco British Soured Cream 150Ml, Chilled",5.052E+12,2,Item,0.16,0.32,0.75,1.7,Hadley
